id,timestampPacket,Vbat,Ibat,oxy_error[0],dpho[0],umolar[0],mbar[0],airSat[0],tempSample[0],tempCase[0],signalIntens[0],ambiLight[0],pressure[0],humidity[0],reistorTEmp[0],percentOxy[0],timestamp[0],oxy_error[1],dpho[1],umolar[1],mbar[1],airSat[1],tempSample[1],tempCase[1],signalIntens[1],ambiLight[1],pressure[1],humidity[1],reistorTEmp[1],percentOxy[1],timestamp[1],oxy_error[2],dpho[2],umolar[2],mbar[2],airSat[2],tempSample[2],tempCase[2],signalIntens[2],ambiLight[2],pressure[2],humidity[2],reistorTEmp[2],percentOxy[2],timestamp[2],oxy_error[3],dpho[3],umolar[3],mbar[3],airSat[3],tempSample[3],tempCase[3],signalIntens[3],ambiLight[3],pressure[3],humidity[3],reistorTEmp[3],percentOxy[3],timestamp[3],oxy_error[4],dpho[4],umolar[4],mbar[4],airSat[4],tempSample[4],tempCase[4],signalIntens[4],ambiLight[4],pressure[4],humidity[4],reistorTEmp[4],percentOxy[4],timestamp[4],oxy_error[5],dpho[5],umolar[5],mbar[5],airSat[5],tempSample[5],tempCase[5],signalIntens[5],ambiLight[5],pressure[5],humidity[5],reistorTEmp[5],percentOxy[5],timestamp[5],light[0],light[1],light[2],light[3],light[4],light[5],light[6],light[7],light[8],light[9],light[10],light[11],thermistor[0],thermistor[1],thermistor[2],thermistor[3],thermistor[4],thermistor[5],thermistor[6],thermistor[7],thermistor[8],heaterPWM[0],heaterPWM[1],heaterPWM[2],heaterPWM[3],heaterPWM[4],heaterPWM[5],pid[0],pid[1],pid[2],
0,758,28.466442,0.059128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.245539,27.319147,27.306726,27.289637,34.219505,0.993843,39.735584,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100000.000000,0.006500,1.000000,
1,2706,28.453636,0.096381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,75089,-300000,-300000,-300000,28031,27540,50,-139,20261,33194,0,-300000,2712,2,-172024,-300000,-300000,-300000,27531,27330,95,-5690,21394,32977,0,-300000,2827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.002320,0.001978,0.001837,0.001991,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.276575,27.298670,27.307703,27.283228,34.217400,0.993883,38.884426,0.000000,0.000000,0.219732,0.187236,0.173863,0.188397,-100000.000000,0.006500,1.000000,
2,4796,28.450317,0.102066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,153889,-300000,-300000,-300000,28031,27530,122,729,20180,33161,0,-300000,4802,2,-134206,-300000,-300000,-300000,27500,27330,74,-6309,21312,32909,0,-300000,4918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.006167,0.005369,0.005240,0.005093,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.243372,27.291285,27.307825,27.285395,34.211632,0.993316,38.884426,0.000000,0.000000,0.232465,0.211282,0.225777,0.176509,-100000.000000,0.006500,1.000000,
3,6886,28.450239,0.098410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-136963,-300000,-300000,-300000,28031,27530,34,-111,20127,33149,0,-300000,6892,2,-159541,-300000,-300000,-300000,27500,27320,74,-5642,21229,32875,0,-300000,7008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.009925,0.008602,0.008666,0.007968,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.253290,27.326105,27.248804,27.288019,34.218895,0.993670,39.735584,0.000000,0.000000,0.226189,0.183582,0.191679,0.175380,-100000.000000,0.006500,1.000000,
4,8977,28.446053,0.106161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,83196,-300000,-300000,-300000,28031,27540,66,-263,20073,33092,0,-300000,8983,2,-125357,-300000,-300000,-300000,27500,27330,62,-5852,21119,32830,0,-300000,9098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.014083,0.011699,0.011835,0.011025,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.220087,27.328821,27.301630,27.264490,34.239433,0.993806,38.884426,0.000000,0.000000,0.287330,0.201572,0.201879,0.203608,-100000.000000,0.006500,1.000000,
5,11067,28.449131,0.101333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-158508,-300000,-300000,-300000,28031,27540,132,1091,19939,33059,0,-300000,11073,2,-141839,-300000,-300000,-300000,27500,27330,103,-4879,21037,32807,0,-300000,11190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.018035,0.014893,0.014830,0.014320,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.235987,27.276148,27.283442,27.290064,34.245567,0.993500,38.884426,0.000000,0.000000,0.210276,0.201373,0.177555,0.210028,-100000.000000,0.006500,1.000000,
6,13159,28.449369,0.101670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,127869,-300000,-300000,-300000,28031,27530,109,576,19858,33037,0,-300000,13165,2,151193,-300000,-300000,-300000,27500,27320,61,-5241,20900,32773,0,-300000,13281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.021577,0.018209,0.017648,0.017535,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.194147,27.292566,27.281366,27.282343,34.238945,0.993660,38.884426,0.000000,0.000000,0.246044,0.222022,0.186451,0.200279,-100000.000000,0.006500,1.000000,
7,15249,28.449051,0.104637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-96480,-300000,-300000,-300000,28031,27540,75,204,19778,32992,0,-300000,15255,2,-141515,-300000,-300000,-300000,27500,27320,56,-6205,20845,32727,0,-300000,15370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.025495,0.021592,0.020640,0.020439,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.225092,27.302912,27.280176,27.302485,34.227165,0.993857,38.884426,0.000000,0.000000,0.262511,0.216445,0.204263,0.179843,-100000.000000,0.006500,1.000000,
8,17339,28.449526,0.106066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-137614,-300000,-300000,-300000,28031,27530,135,319,19670,32946,0,-300000,17345,2,-104352,-300000,-300000,-300000,27500,27330,108,-5823,20762,32683,0,-300000,17461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.029662,0.025118,0.023789,0.023483,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.241297,27.293116,27.276361,27.298029,34.236565,0.993490,39.735584,0.000000,0.000000,0.283476,0.245753,0.210976,0.222779,-100000.000000,0.006500,1.000000,
9,19430,28.451189,0.104799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-175989,-300000,-300000,-300000,28031,27530,115,1167,19616,32923,0,-300000,19436,2,142687,-300000,-300000,-300000,27500,27320,117,-5937,20652,32626,0,-300000,19552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.034006,0.028761,0.026688,0.026803,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.217890,27.290827,27.286585,27.287897,34.230797,0.993723,39.735584,0.000000,0.000000,0.291481,0.237189,0.180769,0.218507,-100000.000000,0.006500,1.000000,
10,21521,28.451345,0.106147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,178018,-300000,-300000,-300000,28031,27540,49,662,19456,32878,0,-300000,21527,2,-41900,-300000,-300000,-300000,27500,27330,30,-5127,20597,32604,0,-300000,21642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.038169,0.031982,0.029856,0.030002,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.241297,27.290735,27.269953,27.292810,34.261101,0.993493,39.735584,0.000000,0.000000,0.270815,0.202959,0.248733,0.215090,-100000.000000,0.006500,1.000000,
11,23610,28.445972,0.105509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-147978,-300000,-300000,-300000,28031,27530,112,729,19401,32845,0,-300000,23616,2,91930,-300000,-300000,-300000,27500,27330,51,-5270,20487,32571,0,-300000,23732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.041985,0.035086,0.033391,0.033267,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.212763,27.265253,27.271357,27.297358,34.217766,0.993536,39.310005,0.000000,0.000000,0.258957,0.229939,0.231101,0.233076,-100000.000000,0.006500,1.000000,
12,25700,28.448736,0.109934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,149981,-300000,-300000,-300000,28031,27530,130,-196,19321,32800,0,-300000,25706,2,-128288,-300000,-300000,-300000,27500,27320,57,-5546,20487,32513,0,-300000,25822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.046045,0.038584,0.036739,0.036503,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.215601,27.252314,27.245234,27.296381,34.243187,0.993726,39.735584,0.000000,0.000000,0.307280,0.255996,0.233326,0.218026,-100000.000000,0.006500,1.000000,
13,27789,28.444468,0.105810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-164316,-300000,-300000,-300000,28031,27530,141,1167,19213,32778,0,-300000,27795,2,-129794,-300000,-300000,-300000,27468,27330,82,-6109,20322,32491,0,-300000,27911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.049969,0.042160,0.040023,0.039631,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.214624,27.271784,27.271357,27.291498,34.237175,0.993836,38.884426,0.000000,0.000000,0.250657,0.245900,0.230067,0.226476,-100000.000000,0.006500,1.000000,
14,29880,28.448105,0.110278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,120130,-300000,-300000,-300000,28031,27530,45,1139,19133,32732,0,-300000,29886,2,-148545,-300000,-300000,-300000,27500,27330,53,-5289,20295,32446,0,-300000,30001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.054113,0.045639,0.043380,0.042599,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.232813,27.269495,27.272333,27.285944,34.243065,0.993473,38.884426,0.000000,0.000000,0.341740,0.251991,0.248853,0.205739,-100000.000000,0.006500,1.000000,
15,31970,28.447395,0.104418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-80092,-300000,-300000,-300000,28000,27520,52,1091,19052,32709,0,-300000,31976,2,124017,-300000,-300000,-300000,27500,27330,61,-5155,20157,32412,0,-300000,32092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.058148,0.049015,0.046845,0.045517,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.199610,27.271235,27.261560,27.278315,34.250328,0.994120,38.884426,0.000000,0.000000,0.245775,0.240548,0.249437,0.226161,-100000.000000,0.006500,1.000000,
16,34060,28.447632,0.109582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-163024,-300000,-300000,-300000,28031,27530,98,252,18972,32654,0,-300000,34066,2,-55467,-300000,-300000,-300000,27500,27320,56,-5957,20048,32366,0,-300000,34181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.061862,0.052452,0.050165,0.048505,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.195795,27.288874,27.268732,27.263178,34.256737,0.993473,38.884426,0.000000,0.000000,0.311672,0.265860,0.238646,0.219920,-100000.000000,0.006500,1.000000,
17,36150,28.443916,0.110147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-156366,-300000,-300000,-300000,28031,27520,112,-130,18864,32630,0,-300000,36156,2,-171767,-300000,-300000,-300000,27500,27320,107,-5661,19993,32310,0,-300000,36273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.065709,0.055918,0.053702,0.051530,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.212671,27.300409,27.246759,27.287134,34.248100,0.993700,38.884426,0.000000,0.000000,0.269010,0.250942,0.281832,0.236544,-100000.000000,0.006500,1.000000,
18,38242,28.448814,0.109780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,160447,-300000,-300000,-300000,28031,27520,22,729,18810,32596,0,-300000,38248,2,-159869,-300000,-300000,-300000,27500,27320,50,-5442,19883,32288,0,-300000,38363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.069449,0.059360,0.057205,0.054733,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.225092,27.285822,27.254358,27.279291,34.266747,0.993993,39.310005,0.000000,0.000000,0.306099,0.269546,0.241243,0.246877,-100000.000000,0.006500,1.000000,
19,40331,28.442652,0.112791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-57720,-300000,-300000,-300000,28031,27530,18,691,18784,32564,0,-300000,40337,2,163128,-300000,-300000,-300000,27500,27320,63,-5318,19855,32242,0,-300000,40452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.073661,0.062871,0.060301,0.058092,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.220606,27.291712,27.279963,27.260798,34.269371,0.993416,39.735584,0.000000,0.000000,0.333407,0.266611,0.241043,0.261905,-100000.000000,0.006500,1.000000,
20,42420,28.445339,0.109912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100750,-300000,-300000,-300000,28031,27520,48,681,18676,32506,0,-300000,42426,2,-177056,-300000,-300000,-300000,27500,27330,26,-5699,19800,32208,0,-300000,42541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.077592,0.066549,0.063539,0.061293,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.226923,27.285608,27.252405,27.273767,34.245201,0.993963,39.310005,0.000000,0.000000,0.281064,0.296339,0.264300,0.234808,-100000.000000,0.006500,1.000000,
21,44509,28.450872,0.111597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,124867,-300000,-300000,-300000,28031,27520,167,824,18595,32472,0,-300000,44515,2,-145276,-300000,-300000,-300000,27500,27320,199,-5775,19718,32163,0,-300000,44631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.081238,0.070259,0.066990,0.064154,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.214533,27.241846,27.245783,27.287897,34.239830,0.994390,39.310005,0.000000,0.000000,0.307366,0.277832,0.272903,0.227903,-100000.000000,0.006500,1.000000,
22,46600,28.439964,0.112637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,173157,-300000,-300000,-300000,28031,27520,90,814,18541,32416,0,-300000,46606,2,-170786,-300000,-300000,-300000,27468,27320,159,-5661,19635,32096,0,-300000,46721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.084862,0.073797,0.070759,0.067216,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.212458,27.275599,27.225183,27.268183,34.258598,0.993753,38.884426,0.000000,0.000000,0.285281,0.282932,0.308557,0.264144,-100000.000000,0.006500,1.000000,
23,48690,28.449211,0.112330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,163299,-300000,-300000,-300000,28031,27520,96,929,18434,32405,0,-300000,48696,2,-137021,-300000,-300000,-300000,27500,27320,117,-4660,19608,32051,0,-300000,48811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.088595,0.077018,0.074654,0.070564,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.253168,27.300104,27.237604,27.276911,34.273888,0.993713,38.884426,0.000000,0.000000,0.327857,0.247383,0.295557,0.268103,-100000.000000,0.006500,1.000000,
24,50780,28.443443,0.113912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,160462,-300000,-300000,-300000,28031,27520,74,281,18353,32349,0,-300000,50786,2,-132009,-300000,-300000,-300000,27500,27310,110,-5651,19498,32027,0,-300000,50901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.092625,0.080434,0.078352,0.074008,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.238153,27.276148,27.236506,27.274073,34.250206,0.994003,39.735584,0.000000,0.000000,0.327981,0.312641,0.293054,0.282264,-100000.000000,0.006500,1.000000,
25,52870,28.441702,0.118777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-118286,-300000,-300000,-300000,28031,27520,65,-44,18246,32304,0,-300000,52876,2,-177459,-300000,-300000,-300000,27500,27310,85,-5375,19443,31983,0,-300000,52991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.096882,0.084471,0.082188,0.077477,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.251337,27.284540,27.216486,27.269953,34.271019,0.993950,39.735584,0.000000,0.000000,0.362902,0.328006,0.319278,0.277994,-100000.000000,0.006500,1.000000,
26,54958,28.442492,0.114418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-145284,-300000,-300000,-300000,28031,27510,135,757,18218,32280,0,-300000,54964,2,-150128,-300000,-300000,-300000,27500,27320,43,-5432,19361,31938,0,-300000,55080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.101042,0.088204,0.086075,0.080783,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.233912,27.273645,27.234003,27.261896,34.268120,0.993943,38.884426,0.000000,0.000000,0.324972,0.284448,0.306783,0.269875,-100000.000000,0.006500,1.000000,
27,57048,28.444786,0.112315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-114761,-300000,-300000,-300000,28031,27520,91,99,18111,32247,0,-300000,57054,2,157390,-300000,-300000,-300000,27500,27320,178,-5880,19306,31881,0,-300000,57169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.104398,0.091638,0.089609,0.083833,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.240656,27.276911,27.226404,27.271143,34.273766,0.993460,39.735584,0.000000,0.000000,0.276155,0.300431,0.285512,0.254467,-100000.000000,0.006500,1.000000,
28,59137,28.442968,0.111421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,138364,-300000,-300000,-300000,28031,27520,66,652,18085,32202,0,-300000,59143,2,-154028,-300000,-300000,-300000,27500,27310,115,-5966,19223,31824,0,-300000,59258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.107060,0.095097,0.093250,0.086979,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.249689,27.271143,27.222254,27.280268,34.260979,0.994287,38.884426,0.000000,0.000000,0.248959,0.294125,0.326336,0.287228,-100000.000000,0.006500,1.000000,
29,61227,28.443443,0.112484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-136170,-300000,-300000,-300000,28031,27520,81,328,17923,32146,0,-300000,61233,2,-135025,-300000,-300000,-300000,27468,27320,30,-5175,19113,31802,0,-300000,61348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.110235,0.098389,0.096893,0.090120,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.208094,27.272760,27.244257,27.259699,34.274010,0.993740,39.735584,0.000000,0.000000,0.342271,0.287310,0.292869,0.259973,-100000.000000,0.006500,1.000000,
30,63317,28.439726,0.118330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,150693,-300000,-300000,-300000,28031,27520,94,795,17923,32124,0,-300000,63323,2,-146989,-300000,-300000,-300000,27500,27310,27,-5585,19059,31745,0,-300000,63438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.114430,0.101730,0.100423,0.093082,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.205591,27.247400,27.225641,27.259150,34.284660,0.994177,38.884426,0.000000,0.000000,0.376520,0.306496,0.320178,0.272261,-100000.000000,0.006500,1.000000,
31,65407,28.441385,0.119289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-144257,-300000,-300000,-300000,28031,27520,107,929,17843,32068,0,-300000,65413,2,-128569,-300000,-300000,-300000,27500,27310,78,-5890,19004,31701,0,-300000,65529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.118759,0.105135,0.103968,0.096353,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.286585,27.266993,27.203852,27.262537,34.273033,0.993920,39.735584,0.000000,0.000000,0.366493,0.301551,0.301775,0.302608,-100000.000000,0.006500,1.000000,
32,67498,28.440203,0.117612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,166870,-300000,-300000,-300000,28031,27510,109,-397,17735,32021,0,-300000,67504,2,-165636,-300000,-300000,-300000,27468,27310,158,-5814,18866,31655,0,-300000,67620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.122656,0.108521,0.107702,0.100052,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.244471,27.250788,27.210291,27.246851,34.279655,0.993830,38.884426,0.000000,0.000000,0.333696,0.310869,0.349405,0.329402,-100000.000000,0.006500,1.000000,
33,69589,28.441545,0.122095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-151983,-300000,-300000,-300000,28031,27510,64,261,17654,31988,0,-300000,69595,2,-162942,-300000,-300000,-300000,27500,27310,86,-5289,18784,31587,0,-300000,69710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.126024,0.112327,0.111792,0.103712,0.006500,-100000.000000,0.006500,0.800000,0.006500,0.800000,-1000000.000000,-1000000.000000,27.268518,27.283991,27.221491,27.264399,34.273277,0.993830,38.884426,0.000000,0.000000,0.311478,0.358304,0.351665,0.305450,-100000.000000,0.006500,1.000000,
