id,timestampPacket,Vbat,Ibat,oxy_error[0],dpho[0],umolar[0],mbar[0],airSat[0],tempSample[0],tempCase[0],signalIntens[0],ambiLight[0],pressure[0],humidity[0],reistorTEmp[0],percentOxy[0],timestamp[0],oxy_error[1],dpho[1],umolar[1],mbar[1],airSat[1],tempSample[1],tempCase[1],signalIntens[1],ambiLight[1],pressure[1],humidity[1],reistorTEmp[1],percentOxy[1],timestamp[1],oxy_error[2],dpho[2],umolar[2],mbar[2],airSat[2],tempSample[2],tempCase[2],signalIntens[2],ambiLight[2],pressure[2],humidity[2],reistorTEmp[2],percentOxy[2],timestamp[2],oxy_error[3],dpho[3],umolar[3],mbar[3],airSat[3],tempSample[3],tempCase[3],signalIntens[3],ambiLight[3],pressure[3],humidity[3],reistorTEmp[3],percentOxy[3],timestamp[3],oxy_error[4],dpho[4],umolar[4],mbar[4],airSat[4],tempSample[4],tempCase[4],signalIntens[4],ambiLight[4],pressure[4],humidity[4],reistorTEmp[4],percentOxy[4],timestamp[4],oxy_error[5],dpho[5],umolar[5],mbar[5],airSat[5],tempSample[5],tempCase[5],signalIntens[5],ambiLight[5],pressure[5],humidity[5],reistorTEmp[5],percentOxy[5],timestamp[5],light[0],light[1],light[2],light[3],light[4],light[5],light[6],light[7],light[8],light[9],light[10],light[11],thermistor[0],thermistor[1],thermistor[2],thermistor[3],thermistor[4],thermistor[5],thermistor[6],thermistor[7],thermistor[8],heaterPWM[0],heaterPWM[1],heaterPWM[2],heaterPWM[3],heaterPWM[4],heaterPWM[5],pid[0],pid[1],pid[2],
5,30921,0.335984,0.041675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,-100000.000000,0.020000,-100000.000000,0.020000,-100000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,26.846552,1.013472,29.521683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100000.000000,0.020000,0.500000,
6,36567,0.335984,0.055166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,-100000.000000,0.020000,-100000.000000,0.020000,-100000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,26.825769,1.013479,29.521683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100000.000000,0.020000,0.500000,
7,42212,0.338672,0.053561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,-100000.000000,0.020000,-100000.000000,0.020000,-100000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,26.817408,1.013418,29.521683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100000.000000,0.020000,0.500000,
8,51520,0.347208,0.054421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,-100000.000000,0.020000,-100000.000000,0.020000,-100000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,26.821222,1.013479,29.096102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100000.000000,0.020000,0.500000,
9,57164,0.335510,0.055344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,-100000.000000,0.020000,-100000.000000,0.020000,-100000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,26.837305,1.013425,29.947262,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100000.000000,0.020000,0.500000,
10,62809,0.336301,0.055803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,-100000.000000,0.020000,-100000.000000,0.020000,-100000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,26.853022,1.013452,29.521683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100000.000000,0.020000,0.500000,
11,68452,0.339146,0.053103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,-100000.000000,0.020000,-100000.000000,0.020000,-100000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,26.877344,1.013465,29.947262,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100000.000000,0.020000,0.500000,
12,74096,0.339541,0.054578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,-100000.000000,0.020000,-100000.000000,0.020000,-100000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,26.909021,1.013412,29.947262,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100000.000000,0.020000,0.500000,
13,79740,0.340173,0.053765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,-100000.000000,0.020000,-100000.000000,0.020000,-100000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,26.939814,1.013519,29.947262,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100000.000000,0.020000,0.500000,
14,85384,0.337170,0.054373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,-100000.000000,0.020000,-100000.000000,0.020000,-100000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,26.966516,1.013455,30.372841,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100000.000000,0.020000,0.500000,
