timestamp[ms];temp_probe[°C];
2128;8.52;
2147;8.52;
2166;8.52;
2201;8.52;
2229;8.52;
2248;8.52;
2266;8.52;
2285;8.52;
2303;8.52;
2322;8.53;
2341;8.52;
2359;8.52;
2378;8.52;
2396;8.52;
2415;8.52;
2434;8.52;
2452;8.52;
2471;8.52;
2490;8.52;
2508;8.52;
2527;8.52;
2545;8.52;
2564;8.52;
2583;8.52;
2601;8.53;
2620;8.54;
2638;8.53;
2657;8.52;
2676;8.52;
2694;8.52;
2713;8.53;
2731;8.52;
2750;8.52;
2769;8.52;
2787;8.53;
2806;8.52;
2825;8.52;
2843;8.51;
2861;8.52;
2905;8.53;
2923;8.52;
2940;8.53;
2959;8.52;
2978;8.52;
2997;8.52;
3016;8.52;
3035;8.52;
3054;8.52;
3073;8.52;
3092;8.52;
3111;8.52;
3130;8.52;
3149;8.52;
3168;8.52;
3187;8.52;
3206;8.52;
3225;8.52;
3244;8.52;
3263;8.52;
3282;8.52;
3301;8.52;
3320;8.52;
3339;8.53;
3358;8.53;
3377;8.52;
3396;8.52;
3415;8.52;
3434;8.52;
3453;8.52;
3472;8.52;
3491;8.52;
3510;8.52;
3529;8.52;
3548;8.51;
3567;8.53;
3586;8.52;
3605;8.52;
3624;8.52;
3643;8.52;
3662;8.52;
3681;8.51;
3700;8.52;
3719;8.52;
3744;8.52;
3763;8.52;
3782;8.52;
3801;8.52;
3820;8.52;
3839;8.52;
3858;8.51;
3877;8.52;
3896;8.51;
3915;8.51;
3934;8.51;
3953;8.51;
3972;8.51;
3991;8.51;
4010;8.51;
4029;8.51;
4048;8.51;
4067;8.51;
4086;8.52;
4105;8.51;
4124;8.51;
4143;8.52;
4162;8.52;
4181;8.52;
4200;8.52;
4219;8.52;
4238;8.53;
4256;8.52;
4275;8.52;
4294;8.52;
4313;8.52;
4332;8.52;
4351;8.52;
4371;8.52;
4390;8.52;
4408;8.52;
4427;8.52;
4446;8.52;
4465;8.52;
4484;8.52;
4503;8.52;
4523;8.52;
4542;8.52;
4567;8.51;
4586;8.51;
4605;8.51;
4624;8.52;
4643;8.51;
4662;8.51;
4681;8.51;
4700;8.52;
4719;8.52;
4738;8.51;
4757;8.52;
4776;8.52;
4795;8.52;
4814;8.52;
4833;8.52;
4852;8.52;
4871;8.53;
4890;8.52;
4909;8.52;
4928;8.52;
4947;8.52;
4966;8.51;
4984;8.51;
5003;8.51;
5022;8.52;
5042;8.52;
5061;8.51;
5080;8.51;
5099;8.52;
5118;8.52;
5137;8.52;
5156;8.52;
5175;8.52;
5194;8.52;
5213;8.52;
5232;8.52;
5251;8.52;
5270;8.52;
5289;8.52;
5308;8.52;
5351;8.52;
5370;8.52;
5390;8.52;
5406;8.51;
5425;8.52;
5444;8.52;
5463;8.52;
5482;8.51;
5501;8.51;
5520;8.51;
5539;8.51;
5558;8.51;
5577;8.52;
5596;8.51;
5615;8.52;
5634;8.51;
5653;8.51;
5672;8.51;
5691;8.51;
5710;8.51;
5729;8.51;
5748;8.52;
5767;8.51;
5786;8.51;
5805;8.51;
5823;8.51;
5842;8.51;
5861;8.51;
5880;8.51;
5899;8.51;
5918;8.51;
5937;8.51;
5956;8.51;
5975;8.51;
5994;8.51;
6013;8.51;
6032;8.51;
6051;8.51;
6070;8.51;
6089;8.51;
6108;8.51;
6127;8.51;
6146;8.51;
6165;8.51;
6184;8.51;
6209;8.51;
6228;8.51;
6247;8.51;
6266;8.51;
6285;8.51;
6304;8.51;
6323;8.51;
6342;8.51;
6360;8.51;
6379;8.51;
6398;8.51;
6417;8.51;
6436;8.51;
6455;8.51;
6474;8.51;
6493;8.51;
6512;8.51;
6531;8.51;
6550;8.51;
6569;8.51;
6588;8.51;
6607;8.51;
6626;8.51;
6645;8.51;
6663;8.51;
6683;8.51;
6701;8.51;
6720;8.51;
6739;8.51;
6758;8.51;
6777;8.51;
6796;8.51;
6815;8.51;
6834;8.51;
6853;8.50;
6872;8.50;
6891;8.50;
6910;8.50;
6929;8.50;
6948;8.50;
6967;8.50;
6986;8.51;
7024;8.50;
7069;8.50;
7088;8.50;
7107;8.50;
7126;8.50;
7145;8.50;
7163;8.50;
7182;8.50;
7201;8.50;
7220;8.50;
7239;8.51;
7258;8.50;
7277;8.50;
7296;8.50;
7315;8.50;
7334;8.50;
7353;8.50;
7372;8.50;
7391;8.50;
7410;8.50;
7429;8.50;
7448;8.51;
7466;8.50;
7485;8.51;
7504;8.50;
7523;8.50;
7542;8.50;
7562;8.50;
7580;8.50;
7599;8.51;
7618;8.50;
7637;8.50;
7656;8.50;
7675;8.50;
7694;8.50;
7713;8.50;
7732;8.50;
7751;8.50;
7770;8.50;
7788;8.50;
7911;8.50;
8089;8.50;
8266;8.50;
8444;8.51;
8618;8.51;
8796;8.51;
8974;8.50;
9152;8.52;
9329;8.51;
9506;8.50;
9684;8.50;
9863;8.50;
9958;8.50;
9978;8.50;
9999;8.50;
10020;8.49;
10040;8.49;
10061;8.49;
10082;8.49;
10102;8.49;
10123;8.49;
10144;8.50;
10165;8.50;
10185;8.50;
10206;8.49;
10227;8.49;
10247;8.49;
10268;8.49;
10288;8.49;
10309;8.50;
10329;8.49;
10350;8.49;
10370;8.49;
10391;8.49;
10411;8.50;
10432;8.49;
10452;8.49;
10473;8.49;
10494;8.49;
10515;8.49;
10535;8.49;
10556;8.49;
10577;8.49;
10598;8.50;
10625;8.49;
10646;8.49;
10667;8.49;
10687;8.49;
10708;8.50;
10729;8.49;
10749;8.49;
10770;8.49;
10790;8.49;
10811;8.50;
10831;8.50;
10851;8.50;
10872;8.50;
10892;8.49;
10913;8.49;
10933;8.50;
10954;8.51;
10974;8.50;
10995;8.51;
11015;8.50;
11036;8.50;
11056;8.51;
11077;8.50;
11097;8.50;
11118;8.50;
11138;8.49;
11159;8.49;
11179;8.50;
11200;8.49;
11220;8.49;
11241;8.49;
11262;8.49;
11282;8.49;
11303;8.49;
11324;8.49;
11344;8.49;
11365;8.49;
11386;8.49;
11406;8.49;
11434;8.50;
11455;8.49;
11475;8.49;
11496;8.49;
11517;8.49;
11538;8.49;
11558;8.49;
11579;8.49;
11600;8.49;
11620;8.49;
11641;8.49;
11662;8.49;
11683;8.49;
11703;8.49;
11724;8.49;
11745;8.49;
11765;8.49;
11786;8.49;
11807;8.49;
11827;8.49;
11848;8.49;
11869;8.49;
11890;8.49;
11910;8.49;
11931;8.49;
11951;8.49;
11972;8.49;
11992;8.49;
12012;8.49;
12033;8.48;
12053;8.49;
12074;8.49;
12094;8.48;
12115;8.49;
12135;8.48;
12156;8.49;
12176;8.49;
12197;8.49;
12217;8.49;
12238;8.49;
12265;8.49;
12285;8.48;
12305;8.48;
12337;8.49;
12358;8.49;
12378;8.49;
12398;8.49;
12419;8.48;
12440;8.48;
12460;8.48;
12481;8.48;
12502;8.48;
12523;8.48;
12545;8.48;
12648;8.48;
12667;8.48;
12685;8.48;
12704;8.48;
12723;8.48;
12742;8.48;
12761;8.48;
12780;8.48;
12799;8.48;
12818;8.48;
12837;8.48;
12855;8.48;
12874;8.48;
12893;8.48;
12912;8.48;
12931;8.48;
12950;8.48;
12969;8.48;
12987;8.48;
13006;8.48;
13025;8.48;
13044;8.48;
13063;8.48;
13082;8.48;
13101;8.48;
13126;8.48;
13144;8.48;
13163;8.48;
13182;8.48;
13201;8.48;
13220;8.48;
13239;8.48;
13258;8.48;
13277;8.48;
13295;8.48;
13314;8.48;
13333;8.48;
13352;8.48;
13371;8.48;
13390;8.48;
13409;8.48;
13428;8.47;
13446;8.48;
13465;8.48;
13484;8.47;
13503;8.47;
13522;8.48;
13541;8.47;
13560;8.48;
13579;8.47;
13598;8.48;
13616;8.47;
13635;8.47;
13654;8.47;
13673;8.48;
13692;8.47;
13711;8.47;
13730;8.47;
13749;8.47;
13767;8.47;
13786;8.47;
13805;8.47;
13824;8.47;
13843;8.47;
13868;8.48;
13887;8.47;
13906;8.47;
13924;8.48;
13943;8.48;
13962;8.48;
13981;8.48;
14000;8.48;
14019;8.48;
14038;8.48;
14056;8.48;
14075;8.48;
14094;8.48;
14113;8.48;
14132;8.48;
14151;8.47;
14170;8.47;
14188;8.47;
14207;8.47;
14226;8.48;
14245;8.47;
14264;8.47;
14283;8.47;
14302;8.47;
14321;8.47;
14340;8.47;
14358;8.47;
14377;8.47;
14396;8.47;
14415;8.48;
14434;8.47;
14453;8.47;
14472;8.47;
14490;8.47;
14509;8.47;
14528;8.47;
14547;8.47;
14566;8.47;
14585;8.47;
14604;8.47;
14629;8.47;
14648;8.47;
14666;8.47;
14685;8.48;
14704;8.47;
14723;8.47;
14742;8.47;
14761;8.47;
14780;8.47;
14798;8.47;
14817;8.47;
14836;8.47;
14868;8.47;
14887;8.47;
14905;8.47;
14924;8.47;
14943;8.47;
14962;8.47;
14981;8.46;
15000;8.47;
15019;8.47;
15037;8.47;
15056;8.47;
15075;8.47;
15094;8.47;
15113;8.46;
15132;8.47;
15151;8.47;
15169;8.46;
15188;8.46;
15207;8.46;
15226;8.46;
15245;8.47;
15264;8.47;
15283;8.46;
15301;8.47;
15320;8.47;
15339;8.46;
15358;8.47;
15383;8.47;
15402;8.46;
15420;8.46;
15439;8.47;
15458;8.47;
15477;8.46;
15496;8.47;
15515;8.47;
15534;8.47;
15552;8.47;
15571;8.47;
15590;8.46;
15609;8.47;
15628;8.47;
15647;8.47;
15665;8.47;
15684;8.47;
15703;8.47;
15722;8.47;
15741;8.47;
15759;8.47;
15778;8.47;
15797;8.47;
15816;8.47;
15835;8.47;
15854;8.47;
15872;8.47;
15891;8.47;
15910;8.47;
15929;8.47;
15948;8.47;
15966;8.47;
15985;8.47;
16004;8.47;
16023;8.47;
16042;8.47;
16061;8.47;
16080;8.47;
16098;8.47;
16117;8.47;
16134;8.47;
16153;8.47;
16172;8.47;
16190;8.47;
16209;8.47;
16228;8.47;
16247;8.47;
16266;8.46;
16285;8.48;
16303;8.47;
16322;8.47;
16341;8.47;
16360;8.46;
16379;8.47;
16398;8.47;
16416;8.47;
16435;8.46;
16454;8.46;
16473;8.46;
16492;8.46;
16511;8.46;
16529;8.46;
16548;8.46;
16567;8.46;
16597;8.46;
16615;8.46;
16634;8.46;
16653;8.46;
16672;8.47;
16691;8.46;
16709;8.46;
16728;8.47;
16747;8.47;
16766;8.47;
16785;8.47;
16804;8.47;
16823;8.46;
16841;8.47;
16860;8.48;
16885;8.47;
16904;8.47;
16923;8.47;
16942;8.47;
16960;8.47;
16979;8.47;
16998;8.47;
17017;8.46;
17036;8.46;
17055;8.46;
17073;8.47;
17092;8.47;
17111;8.46;
17130;8.46;
17149;8.46;
17167;8.46;
17186;8.46;
17205;8.47;
17224;8.46;
17242;8.46;
17261;8.46;
17293;8.46;
17312;8.48;
17331;8.47;
17350;8.47;
17368;8.47;
17387;8.47;
17406;8.47;
17425;8.47;
17444;8.47;
17462;8.47;
17481;8.47;
